PRICE_LIST	LIST_PRICE	DISCOUNT_TYPE	DISCOUNT_RATE	COMMISSION_POINTS	COMMISSION_VOLUME	PRODUCT_NUMBER	PRODUCT_CLASS	CATEGORY_NAME	PRODUCT_DESCRIPTION	IMAGE_FILENAME_LARGE	PRODUCT_LONG_DESCRIPTION	EOL:EOL
Employee	69	P	50%	69	69	1328166	Core Products	Specials	Large Free Form Decorative Tray	1328166.jpg	Special Fall & Winter WishList Preview! Forget about storing or serving. The unpredictable pattern of these artistic pieces make them unique style show-offs. Shipping surcharge of $10 applies. 33"l x 21 1/2"w x 2"h	EOL:EOL
Customer	69		0%	69	69	1328166	Core Products	Specials	Large Free Form Decorative Tray	1328166.jpg	Special Fall & Winter WishList Preview! Forget about storing or serving. The unpredictable pattern of these artistic pieces make them unique style show-offs. Shipping surcharge of $10 applies. 33"l x 21 1/2"w x 2"h	EOL:EOL
Consultant	102	P	25%	102	102	1283364	Core Products	Specials	Medium Stow Away Basket Whitewashed	1283364.jpg	The Medium Stow Away Basket has been redesigned with set in side handles and the Protector has cut out handles to give this storage basket added functionality, while the traditional Longaberger maple weave looks amazing wherever it sits. Protector and WoodCrafts Lid available separately. Integrates with the Woven Traditions® 8" x 8" Baking Dish and Lid. Made in the U.S.A. 19 1/4"l x 11 3/4"w x 6 5/8"h; Rec. Wt. Use: 30 lbs.	EOL:EOL
Employee	102	P	50%	102	102	1283364	Core Products	Specials	Medium Stow Away Basket Whitewashed	1283364.jpg	The Medium Stow Away Basket has been redesigned with set in side handles and the Protector has cut out handles to give this storage basket added functionality, while the traditional Longaberger maple weave looks amazing wherever it sits. Protector and WoodCrafts Lid available separately. Integrates with the Woven Traditions® 8" x 8" Baking Dish and Lid. Made in the U.S.A. 19 1/4"l x 11 3/4"w x 6 5/8"h; Rec. Wt. Use: 30 lbs.	EOL:EOL
Customer	102		0%	102	102	1283364	Core Products	Specials	Medium Stow Away Basket Whitewashed	1283364.jpg	The Medium Stow Away Basket has been redesigned with set in side handles and the Protector has cut out handles to give this storage basket added functionality, while the traditional Longaberger maple weave looks amazing wherever it sits. Protector and WoodCrafts Lid available separately. Integrates with the Woven Traditions® 8" x 8" Baking Dish and Lid. Made in the U.S.A. 19 1/4"l x 11 3/4"w x 6 5/8"h; Rec. Wt. Use: 30 lbs.	EOL:EOL
Consultant	81	P	25%	81	81	1167964	Core Products	Specials	Buffet Basket Whitewashed	1167964.jpg	The Buffet Bowl is a must-have for every home! This basket works so hard, you'll wonder how you ever got along without it. The generous size makes it the perfect party companion. The dishwasher safe Lidded Protector goes from refrigerator to tabletop and keeps your salads crisp and cold. The WoodCrafts Lid with knob is just the thing for keeping items close at hand, but hidden from plain sight in any room of your home. Lidded Protector and WoodCrafts Lid with knob available separately. Made in America. 11 1/4"d x 4 1/2"h; Rec. Wt. Use: 17 lbs.	EOL:EOL
Employee	81	P	50%	81	81	1167964	Core Products	Specials	Buffet Basket Whitewashed	1167964.jpg	The Buffet Bowl is a must-have for every home! This basket works so hard, you'll wonder how you ever got along without it. The generous size makes it the perfect party companion. The dishwasher safe Lidded Protector goes from refrigerator to tabletop and keeps your salads crisp and cold. The WoodCrafts Lid with knob is just the thing for keeping items close at hand, but hidden from plain sight in any room of your home. Lidded Protector and WoodCrafts Lid with knob available separately. Made in America. 11 1/4"d x 4 1/2"h; Rec. Wt. Use: 17 lbs.	EOL:EOL
Customer	81		0%	81	81	1167964	Core Products	Specials	Buffet Basket Whitewashed	1167964.jpg	The Buffet Bowl is a must-have for every home! This basket works so hard, you'll wonder how you ever got along without it. The generous size makes it the perfect party companion. The dishwasher safe Lidded Protector goes from refrigerator to tabletop and keeps your salads crisp and cold. The WoodCrafts Lid with knob is just the thing for keeping items close at hand, but hidden from plain sight in any room of your home. Lidded Protector and WoodCrafts Lid with knob available separately. Made in America. 11 1/4"d x 4 1/2"h; Rec. Wt. Use: 17 lbs.	EOL:EOL
Consultant	51	P	25%	51	51	1723164	Core Products	Specials	Bread Basket Whitewashed	1723164.jpg	You'll be surprised by how many uses you can find for this basket -- and by how beautiful it looks. Serves bread, crackers and snacks in unique style, but also holds CDs, DVDs, keys and wallets, remotes and much more. Protector available separately, are dishwasher safe. Made in the U.S.A.<br />14 1/2"l x 7 1/2"w x 3 3/4"h; Rec. Wt. Use: 15 lbs.	EOL:EOL
Employee	51	P	50%	51	51	1723164	Core Products	Specials	Bread Basket Whitewashed	1723164.jpg	You'll be surprised by how many uses you can find for this basket -- and by how beautiful it looks. Serves bread, crackers and snacks in unique style, but also holds CDs, DVDs, keys and wallets, remotes and much more. Protector available separately, are dishwasher safe. Made in the U.S.A.<br />14 1/2"l x 7 1/2"w x 3 3/4"h; Rec. Wt. Use: 15 lbs.	EOL:EOL
Customer	51		0%	51	51	1723164	Core Products	Specials	Bread Basket Whitewashed	1723164.jpg	You'll be surprised by how many uses you can find for this basket -- and by how beautiful it looks. Serves bread, crackers and snacks in unique style, but also holds CDs, DVDs, keys and wallets, remotes and much more. Protector available separately, are dishwasher safe. Made in the U.S.A.<br />14 1/2"l x 7 1/2"w x 3 3/4"h; Rec. Wt. Use: 15 lbs.	EOL:EOL
Consultant	40	P	25%	40	40	1740164	Core Products	Specials	Cracker Basket Whitewashed	1740164.jpg	The Cracker Basket is a treasured old friend that can be used for everything from snacks for game night at home to keeping straws, flatware or sweetener packets handy in the kitchen. Available separately, the Protector makes clean up a breeze. Made in the U.S.A. 11 1/2"l x 5"w x 3" h; Rec. Wt. Use: 5 lbs.	EOL:EOL
Employee	40	P	50%	40	40	1740164	Core Products	Specials	Cracker Basket Whitewashed	1740164.jpg	The Cracker Basket is a treasured old friend that can be used for everything from snacks for game night at home to keeping straws, flatware or sweetener packets handy in the kitchen. Available separately, the Protector makes clean up a breeze. Made in the U.S.A. 11 1/2"l x 5"w x 3" h; Rec. Wt. Use: 5 lbs.	EOL:EOL
Customer	40		0%	40	40	1740164	Core Products	Specials	Cracker Basket Whitewashed	1740164.jpg	The Cracker Basket is a treasured old friend that can be used for everything from snacks for game night at home to keeping straws, flatware or sweetener packets handy in the kitchen. Available separately, the Protector makes clean up a breeze. Made in the U.S.A. 11 1/2"l x 5"w x 3" h; Rec. Wt. Use: 5 lbs.	EOL:EOL
Consultant	89	P	25%	89	89	1326166	Core Products	Specials	WOVEN Bicycle Basket	1326166.jpg	The ever-popular Bicycle Basket is better than ever! A beautiful basket to carry things while running errands, enjoying a leisurely ride or a longer ride. 14 1/4"l x 10 1/2"w x 8"h; Rec. Wt. Use: 25 lbs.; Includes three leather strap attachments; clear coat finish. Made in America. Available through August 31, 2016.	EOL:EOL
Employee	89	P	50%	89	89	1326166	Core Products	Specials	WOVEN Bicycle Basket	1326166.jpg	The ever-popular Bicycle Basket is better than ever! A beautiful basket to carry things while running errands, enjoying a leisurely ride or a longer ride. 14 1/4"l x 10 1/2"w x 8"h; Rec. Wt. Use: 25 lbs.; Includes three leather strap attachments; clear coat finish. Made in America. Available through August 31, 2016.	EOL:EOL
Customer	89		%	89	89	1326166	Core Products	Specials	WOVEN Bicycle Basket	1326166.jpg	The ever-popular Bicycle Basket is better than ever! A beautiful basket to carry things while running errands, enjoying a leisurely ride or a longer ride. 14 1/4"l x 10 1/2"w x 8"h; Rec. Wt. Use: 25 lbs.; Includes three leather strap attachments; clear coat finish. Made in America. Available through August 31, 2016.	EOL:EOL
Consultant	49	P	25%	49	49	1328066	Core Products	Specials	Small Free Form Decorative Tray 	1328066.jpg	Special Fall & Winter WishList Preview! Forget about storing or serving. The unpredictable pattern of these artistic pieces make them unique style show-offs. 20 1/2"l x 12 1/2"w x 2 1/2"h	EOL:EOL
Employee	49	P	50%	49	49	1328066	Core Products	Specials	Small Free Form Decorative Tray 	1328066.jpg	Special Fall & Winter WishList Preview! Forget about storing or serving. The unpredictable pattern of these artistic pieces make them unique style show-offs. 20 1/2"l x 12 1/2"w x 2 1/2"h	EOL:EOL
Customer	49		0%	49	49	1328066	Core Products	Specials	Small Free Form Decorative Tray 	1328066.jpg	Special Fall & Winter WishList Preview! Forget about storing or serving. The unpredictable pattern of these artistic pieces make them unique style show-offs. 20 1/2"l x 12 1/2"w x 2 1/2"h	EOL:EOL
Consultant	74	P	25%	74	74	1283264	Core Products	Specials	Small Stow Away Basket Whitewashed	1283264.jpg	The Small Stow Away Basket has two set-in side handles and a Protector with cut-outs for the handles to give this storage basket added functionality. The traditional Longaberger maple weave looks amazing wherever it sits. Protector and WoodCrafts Lid available separately. Integrates with the Woven Traditions® 8" x 8" Baking Dish. Made in the U.S.A. 14 3/4"l x 9 3/4"w x 6 1/4"h; Rec. Wt. Use: 30 lbs.	EOL:EOL
Employee	74	P	50%	74	74	1283264	Core Products	Specials	Small Stow Away Basket Whitewashed	1283264.jpg	The Small Stow Away Basket has two set-in side handles and a Protector with cut-outs for the handles to give this storage basket added functionality. The traditional Longaberger maple weave looks amazing wherever it sits. Protector and WoodCrafts Lid available separately. Integrates with the Woven Traditions® 8" x 8" Baking Dish. Made in the U.S.A. 14 3/4"l x 9 3/4"w x 6 1/4"h; Rec. Wt. Use: 30 lbs.	EOL:EOL
Customer	74		0%	74	74	1283264	Core Products	Specials	Small Stow Away Basket Whitewashed	1283264.jpg	The Small Stow Away Basket has two set-in side handles and a Protector with cut-outs for the handles to give this storage basket added functionality. The traditional Longaberger maple weave looks amazing wherever it sits. Protector and WoodCrafts Lid available separately. Integrates with the Woven Traditions® 8" x 8" Baking Dish. Made in the U.S.A. 14 3/4"l x 9 3/4"w x 6 1/4"h; Rec. Wt. Use: 30 lbs.	EOL:EOL
Consultant	46	P	25%	46	46	63538	Core Products	August Flyer	Skeleton Ghoulies Basket w/Tie-On	63538.jpg	Celebrate the light side of fright with our adorable Ghoulies Baskets! Our Ghoulies are cute enough to bring delight, but not fright, to your home this season! Made in the U.S.A. Includes Basket (5 1/2"d x 2 3/4"h (8"h w/handle); Rec. Wt. Use: 3 lbs.) w/ Tie-On. Protector available separately.	EOL:EOL
Employee	46	P	50%	46	46	63538	Core Products	August Flyer	Skeleton Ghoulies Basket w/Tie-On	63538.jpg	Celebrate the light side of fright with our adorable Ghoulies Baskets! Our Ghoulies are cute enough to bring delight, but not fright, to your home this season! Made in the U.S.A. Includes Basket (5 1/2"d x 2 3/4"h (8"h w/handle); Rec. Wt. Use: 3 lbs.) w/ Tie-On. Protector available separately.	EOL:EOL
Customer	46		%	46	46	63538	Core Products	August Flyer	Skeleton Ghoulies Basket w/Tie-On	63538.jpg	Celebrate the light side of fright with our adorable Ghoulies Baskets! Our Ghoulies are cute enough to bring delight, but not fright, to your home this season! Made in the U.S.A. Includes Basket (5 1/2"d x 2 3/4"h (8"h w/handle); Rec. Wt. Use: 3 lbs.) w/ Tie-On. Protector available separately.	EOL:EOL
Consultant	10	P	25%	10	10	5218420	Core Products	August Flyer	Skeleton Ghoulies Tie-On 	5218420.jpg	Add this cute little Witch Tie-On to any Basket to dress it up for Halloween! Made in the U.S.A. 	EOL:EOL
Employee	10	P	50%	10	10	5218420	Core Products	August Flyer	Skeleton Ghoulies Tie-On 	5218420.jpg	Add this cute little Witch Tie-On to any Basket to dress it up for Halloween! Made in the U.S.A. 	EOL:EOL
Customer	10		0%	10	10	5218420	Core Products	August Flyer	Skeleton Ghoulies Tie-On 	5218420.jpg	Add this cute little Witch Tie-On to any Basket to dress it up for Halloween! Made in the U.S.A. 	EOL:EOL
Consultant	46	P	25%	46	46	63536	Core Products	August Flyer	Mummy Ghoulies Basket w/Tie-On	63536.jpg	Celebrate the light side of fright with our adorable Ghoulies Baskets! Our Ghoulies are cute enough to bring delight, but not fright, to your home this season! Made in the U.S.A. Includes Basket (5 1/2"l x 3 1/2"w x 3 1/4"h; Rec. Wt. Use: 2 lbs.) w/ Tie-On. Protector available separately.	EOL:EOL
Employee	46	P	50%	46	46	63536	Core Products	August Flyer	Mummy Ghoulies Basket w/Tie-On	63536.jpg	Celebrate the light side of fright with our adorable Ghoulies Baskets! Our Ghoulies are cute enough to bring delight, but not fright, to your home this season! Made in the U.S.A. Includes Basket (5 1/2"l x 3 1/2"w x 3 1/4"h; Rec. Wt. Use: 2 lbs.) w/ Tie-On. Protector available separately.	EOL:EOL
Customer	46		%	46	46	63536	Core Products	August Flyer	Mummy Ghoulies Basket w/Tie-On	63536.jpg	Celebrate the light side of fright with our adorable Ghoulies Baskets! Our Ghoulies are cute enough to bring delight, but not fright, to your home this season! Made in the U.S.A. Includes Basket (5 1/2"l x 3 1/2"w x 3 1/4"h; Rec. Wt. Use: 2 lbs.) w/ Tie-On. Protector available separately.	EOL:EOL
Consultant	10	P	25%	10	10	5218464	Core Products	August Flyer	Mummy Ghoulies Tie-On 	5218464.jpg	Add this cute little Witch Tie-On to any Basket to dress it up for Halloween! Made in the U.S.A. 	EOL:EOL
Employee	10	P	50%	10	10	5218464	Core Products	August Flyer	Mummy Ghoulies Tie-On 	5218464.jpg	Add this cute little Witch Tie-On to any Basket to dress it up for Halloween! Made in the U.S.A. 	EOL:EOL
Customer	10		0%	10	10	5218464	Core Products	August Flyer	Mummy Ghoulies Tie-On 	5218464.jpg	Add this cute little Witch Tie-On to any Basket to dress it up for Halloween! Made in the U.S.A. 	EOL:EOL
Consultant	59	P	25%	59	59	63537	Core Products	August Flyer	Witch Ghoulies Basket w/Tie-On & WoodCrafts Lid	63537.jpg	Celebrate the light side of fright with our adorable Ghoulies Baskets! Our Ghoulies are cute enough to bring delight, but not fright, to your home this season! Made in the U.S.A. Includes Basket (5 1/4"l x 3 1/2"w x 4"h; Rec. Wt. Use: 2 lbs.) w/ Tie-On and WoodCrafts Lid. Protector available separately.	EOL:EOL
Employee	59	P	50%	59	59	63537	Core Products	August Flyer	Witch Ghoulies Basket w/Tie-On & WoodCrafts Lid	63537.jpg	Celebrate the light side of fright with our adorable Ghoulies Baskets! Our Ghoulies are cute enough to bring delight, but not fright, to your home this season! Made in the U.S.A. Includes Basket (5 1/4"l x 3 1/2"w x 4"h; Rec. Wt. Use: 2 lbs.) w/ Tie-On and WoodCrafts Lid. Protector available separately.	EOL:EOL
Customer	59		%	59	59	63537	Core Products	August Flyer	Witch Ghoulies Basket w/Tie-On & WoodCrafts Lid	63537.jpg	Celebrate the light side of fright with our adorable Ghoulies Baskets! Our Ghoulies are cute enough to bring delight, but not fright, to your home this season! Made in the U.S.A. Includes Basket (5 1/4"l x 3 1/2"w x 4"h; Rec. Wt. Use: 2 lbs.) w/ Tie-On and WoodCrafts Lid. Protector available separately.	EOL:EOL
Consultant	10	P	25%	10	10	5218480	Core Products	August Flyer	Witch Tie-On	5218480.jpg	Add this cute little Witch Tie-On to any Basket to dress it up for Halloween! Made in the U.S.A. 2 1/2"d	EOL:EOL
Employee	10	P	50%	10	10	5218480	Core Products	August Flyer	Witch Tie-On	5218480.jpg	Add this cute little Witch Tie-On to any Basket to dress it up for Halloween! Made in the U.S.A. 2 1/2"d	EOL:EOL
Customer	10		%	10	10	5218480	Core Products	August Flyer	Witch Tie-On	5218480.jpg	Add this cute little Witch Tie-On to any Basket to dress it up for Halloween! Made in the U.S.A. 2 1/2"d	EOL:EOL
Consultant	36	P	25%	36	36	5218165	Core Products	August Flyer	WoodCrafts Witch	5218165.jpg	Add this frightfully cute WoodCrafts Witch to your home this season! Guaranteed to bring giggles and smiles to all who enter! Made in the U.S.A. 13 3/4"l x 3"w x 15 1/4"h	EOL:EOL
Employee	36	P	50%	36	36	5218165	Core Products	August Flyer	WoodCrafts Witch	5218165.jpg	Add this frightfully cute WoodCrafts Witch to your home this season! Guaranteed to bring giggles and smiles to all who enter! Made in the U.S.A. 13 3/4"l x 3"w x 15 1/4"h	EOL:EOL
Customer	36		0%	36	36	5218165	Core Products	August Flyer	WoodCrafts Witch	5218165.jpg	Add this frightfully cute WoodCrafts Witch to your home this season! Guaranteed to bring giggles and smiles to all who enter! Made in the U.S.A. 13 3/4"l x 3"w x 15 1/4"h	EOL:EOL
Consultant	29	P	25%	29	29	5218564	Core Products	August Flyer	WoodCrafts Ghost	5218564.jpg	Add this frightfully cute WoodCrafts Ghost to your home this season! Guaranteed to bring giggles and smiles to all who enter! Made in the U.S.A. 13 3/4"l x 3"w x 20 3/4"h	EOL:EOL
Employee	29	P	50%	29	29	5218564	Core Products	August Flyer	WoodCrafts Ghost	5218564.jpg	Add this frightfully cute WoodCrafts Ghost to your home this season! Guaranteed to bring giggles and smiles to all who enter! Made in the U.S.A. 13 3/4"l x 3"w x 20 3/4"h	EOL:EOL
Customer	29		%	29	29	5218564	Core Products	August Flyer	WoodCrafts Ghost	5218564.jpg	Add this frightfully cute WoodCrafts Ghost to your home this season! Guaranteed to bring giggles and smiles to all who enter! Made in the U.S.A. 13 3/4"l x 3"w x 20 3/4"h	EOL:EOL
Consultant	95	P	25%	95	95	1322743	Core Products	August Flyer	Collectors Club Farm Miniature Apple Basket Fall Weave	1322743.jpg	The third basket in the Collectors Club Farm Miniature Collection, the Apple Basket is one of the original designs created by J.W. Longaberger for the good people and local farmers around Dresden, Ohio. The beautiful and unique miniatures are created by our skilled basketmakers just like J.W. did, one at a time and by hand. Available through December 31, 2016. Made in the U.S.A. 5"d x 3 1/4"h	EOL:EOL
Employee	95	P	50%	95	95	1322743	Core Products	August Flyer	Collectors Club Farm Miniature Apple Basket Fall Weave	1322743.jpg	The third basket in the Collectors Club Farm Miniature Collection, the Apple Basket is one of the original designs created by J.W. Longaberger for the good people and local farmers around Dresden, Ohio. The beautiful and unique miniatures are created by our skilled basketmakers just like J.W. did, one at a time and by hand. Available through December 31, 2016. Made in the U.S.A. 5"d x 3 1/4"h	EOL:EOL
Customer	95		%	95	95	1322743	Core Products	August Flyer	Collectors Club Farm Miniature Apple Basket Fall Weave	1322743.jpg	The third basket in the Collectors Club Farm Miniature Collection, the Apple Basket is one of the original designs created by J.W. Longaberger for the good people and local farmers around Dresden, Ohio. The beautiful and unique miniatures are created by our skilled basketmakers just like J.W. did, one at a time and by hand. Available through December 31, 2016. Made in the U.S.A. 5"d x 3 1/4"h	EOL:EOL
Consultant	95	P	25%	95	95	1322715	Core Products	August Flyer	Collectors Club Farm Miniature Apple Basket Vintage	1322715.jpg	The third basket in the Collectors Club Farm Miniature Collection, the Apple Basket is one of the original designs created by J.W. Longaberger for the good people and local farmers around Dresden, Ohio. The beautiful and unique miniatures are created by our skilled basketmakers just like J.W. did, one at a time and by hand. Available through December 31, 2016. Made in the U.S.A. 5"d x 3 1/4"h	EOL:EOL
Employee	95	P	50%	95	95	1322715	Core Products	August Flyer	Collectors Club Farm Miniature Apple Basket Vintage	1322715.jpg	The third basket in the Collectors Club Farm Miniature Collection, the Apple Basket is one of the original designs created by J.W. Longaberger for the good people and local farmers around Dresden, Ohio. The beautiful and unique miniatures are created by our skilled basketmakers just like J.W. did, one at a time and by hand. Available through December 31, 2016. Made in the U.S.A. 5"d x 3 1/4"h	EOL:EOL
Customer	95		%	95	95	1322715	Core Products	August Flyer	Collectors Club Farm Miniature Apple Basket Vintage	1322715.jpg	The third basket in the Collectors Club Farm Miniature Collection, the Apple Basket is one of the original designs created by J.W. Longaberger for the good people and local farmers around Dresden, Ohio. The beautiful and unique miniatures are created by our skilled basketmakers just like J.W. did, one at a time and by hand. Available through December 31, 2016. Made in the U.S.A. 5"d x 3 1/4"h	EOL:EOL
Consultant	33	P	25%	33	33	13205	Core Products	Spring & Summer 2016 WishList	Business Card Basket Khaki Check	13205.jpg	Now available in Khaki Check! Our Business Card Basket isn't just for Business Cards! Although it is the perfect accessory in the office for cards or mints, it's perfect to store your rings by the sink, hold cotton balls or cotton swabs on the vanity or sweetener packets on your kitchen counter. It's one of the smallest baskets we offer, but it has huge appeal for young and old alike! Made in America. 4 1/2"l x 3 1/2"w x 2 1/4"h; Rec. Wt. Use: 1 lb.	EOL:EOL
Employee	33	P	50%	33	33	13205	Core Products	Spring & Summer 2016 WishList	Business Card Basket Khaki Check	13205.jpg	Now available in Khaki Check! Our Business Card Basket isn't just for Business Cards! Although it is the perfect accessory in the office for cards or mints, it's perfect to store your rings by the sink, hold cotton balls or cotton swabs on the vanity or sweetener packets on your kitchen counter. It's one of the smallest baskets we offer, but it has huge appeal for young and old alike! Made in America. 4 1/2"l x 3 1/2"w x 2 1/4"h; Rec. Wt. Use: 1 lb.	EOL:EOL
Customer	33		%	33	33	13205	Core Products	Spring & Summer 2016 WishList	Business Card Basket Khaki Check	13205.jpg	Now available in Khaki Check! Our Business Card Basket isn't just for Business Cards! Although it is the perfect accessory in the office for cards or mints, it's perfect to store your rings by the sink, hold cotton balls or cotton swabs on the vanity or sweetener packets on your kitchen counter. It's one of the smallest baskets we offer, but it has huge appeal for young and old alike! Made in America. 4 1/2"l x 3 1/2"w x 2 1/4"h; Rec. Wt. Use: 1 lb.	EOL:EOL
Consultant	79	P	25%	79	79	13202	Core Products	Spring & Summer 2016 WishList	Desktop Basket Khaki Check	13202.jpg	The Desktop Basket is just what your desk need to corral files, catalogs and books. It will be the best accessory on your desk! The lower front makes it perfect in the family room for DVDs and CDs, as well as magazines. Made in America. 14"l x 10"w x 9"h; Rec. Wt. Use: 25 lbs.	EOL:EOL
Employee	79	P	50%	79	79	13202	Core Products	Spring & Summer 2016 WishList	Desktop Basket Khaki Check	13202.jpg	The Desktop Basket is just what your desk need to corral files, catalogs and books. It will be the best accessory on your desk! The lower front makes it perfect in the family room for DVDs and CDs, as well as magazines. Made in America. 14"l x 10"w x 9"h; Rec. Wt. Use: 25 lbs.	EOL:EOL
